freq (Hz)	magnitude
6.320000E+2	8.555273E-2
6.330000E+2	9.699132E-2
6.340000E+2	9.111437E-2
6.350000E+2	8.481081E-2
6.360000E+2	9.931049E-2
6.370000E+2	8.424251E-2
6.380000E+2	9.349287E-2
6.390000E+2	9.168987E-2
6.400000E+2	8.389272E-2
6.410000E+2	9.734515E-2
6.420000E+2	8.600704E-2
6.430000E+2	8.974945E-2
6.440000E+2	9.355997E-2
6.450000E+2	8.233678E-2
6.460000E+2	1.019071E-1
6.470000E+2	9.239071E-2
6.480000E+2	9.870709E-2
6.490000E+2	9.999018E-2
6.500000E+2	8.636809E-2
6.510000E+2	1.032416E-1
6.520000E+2	9.177495E-2
6.530000E+2	9.722360E-2
6.540000E+2	9.927558E-2
6.550000E+2	8.723640E-2
6.560000E+2	1.065406E-1
6.570000E+2	1.002653E-1
6.580000E+2	1.003426E-1
6.590000E+2	1.095419E-1
6.600000E+2	9.067001E-2
6.610000E+2	1.143744E-1
6.620000E+2	9.705630E-2
6.630000E+2	1.013245E-1
6.640000E+2	1.099252E-1
6.650000E+2	8.735448E-2
6.660000E+2	1.150671E-1
6.670000E+2	9.863692E-2
6.680000E+2	1.034098E-1
6.690000E+2	1.182178E-1
6.700000E+2	8.738032E-2
6.710000E+2	1.206802E-1
6.720000E+2	1.043262E-1
6.730000E+2	1.002805E-1
6.740000E+2	1.222627E-1
6.750000E+2	9.148630E-2
6.760000E+2	1.362744E-1
6.770000E+2	1.189693E-1
6.780000E+2	1.245899E-1
6.790000E+2	1.471076E-1
6.800000E+2	1.106507E-1
6.810000E+2	1.540002E-1
6.820000E+2	1.329546E-1
6.830000E+2	1.394873E-1
6.840000E+2	1.711411E-1
6.850000E+2	1.270773E-1
6.860000E+2	1.761304E-1
6.870000E+2	1.555793E-1
6.880000E+2	1.611146E-1
6.890000E+2	1.985091E-1
6.900000E+2	1.629514E-1
6.910000E+2	2.249303E-1
6.920000E+2	1.893300E-1
6.930000E+2	1.971539E-1
6.940000E+2	2.349763E-1
6.950000E+2	1.777663E-1
6.960000E+2	2.541850E-1
6.970000E+2	2.206821E-1
6.980000E+2	2.331007E-1
6.990000E+2	2.831312E-1
7.000000E+2	2.215720E-1
7.010000E+2	3.193783E-1
7.020000E+2	2.815485E-1
7.030000E+2	3.070341E-1
7.040000E+2	3.750968E-1
7.050000E+2	2.967715E-1
7.060000E+2	4.279668E-1
7.070000E+2	3.821578E-1
7.080000E+2	4.319544E-1
7.090000E+2	5.266615E-1
7.100000E+2	4.375136E-1
7.110000E+2	6.384358E-1
7.120000E+2	5.845231E-1
7.130000E+2	6.937838E-1
7.140000E+2	8.777772E-1
7.150000E+2	7.853231E-1
7.160000E+2	1.223700E+0
7.170000E+2	1.212536E+0
7.180000E+2	1.645734E+0
7.190000E+2	2.454072E+0
7.200000E+2	3.067735E+0
7.210000E+2	7.856400E+0
7.220000E+2	1.003818E+1
7.230000E+2	5.014730E+0
7.240000E+2	3.236881E+0
7.250000E+2	2.011703E+0
7.260000E+2	1.848418E+0
7.270000E+2	1.620014E+0
7.280000E+2	1.413079E+0
7.290000E+2	9.996627E-1
7.300000E+2	7.249819E-1
7.310000E+2	8.144673E-1
7.320000E+2	6.152635E-1
7.330000E+2	6.153469E-1
7.340000E+2	6.070861E-1
7.350000E+2	4.611810E-1
7.360000E+2	5.499871E-1
7.370000E+2	4.290665E-1
7.380000E+2	4.453728E-1
7.390000E+2	4.436587E-1
7.400000E+2	3.575484E-1
7.410000E+2	4.194197E-1
7.420000E+2	3.403809E-1
7.430000E+2	3.618551E-1
7.440000E+2	3.595847E-1
7.450000E+2	3.083976E-1
7.460000E+2	3.501799E-1
7.470000E+2	2.964492E-1
7.480000E+2	3.226138E-1
7.490000E+2	3.109182E-1
7.500000E+2	2.933082E-1
7.510000E+2	3.128843E-1
7.520000E+2	2.786945E-1
7.530000E+2	3.020945E-1
7.540000E+2	3.024113E-1
7.550000E+2	3.360714E-1
7.560000E+2	3.491018E-1
7.570000E+2	3.554422E-1
7.580000E+2	4.408778E-1
7.590000E+2	4.235958E-1
7.600000E+2	5.896023E-1
7.610000E+2	6.557645E-1
7.620000E+2	9.312419E-1
7.630000E+2	1.886390E+0
7.640000E+2	3.340255E+0
7.650000E+2	2.049640E+0
7.660000E+2	8.840974E-1
7.670000E+2	8.374660E-1
7.680000E+2	9.478647E-1
7.690000E+2	4.467379E-1
7.700000E+2	4.777017E-1
